year,region,state,gender,mode_of_trans,count
2015,Southeast,Virginia,male,drove_alone,1675669
2015,Southeast,Virginia,male,carpooled,200322
2015,Southeast,Virginia,male,public_transportation,103604
2015,Southeast,Virginia,male,bicycle,12783
2015,Southeast,Virginia,male,walked,53752
2015,Southeast,Virginia,male,taxicab_or_other,33276
2015,West,Washington,male,drove_alone,1328983
2015,West,Washington,male,carpooled,179489
2015,West,Washington,male,public_transportation,110475
2015,West,Washington,male,bicycle,22806
2015,West,Washington,male,walked,71282
2015,West,Washington,male,taxicab_or_other,30030
2015,Southeast,West Virginia,male,drove_alone,315778
2015,Southeast,West Virginia,male,carpooled,33972
2015,Southeast,West Virginia,male,public_transportation,4218
2015,Southeast,West Virginia,male,bicycle,917
2015,Southeast,West Virginia,male,walked,11149
2015,Southeast,West Virginia,male,taxicab_or_other,5656
2015,Midwest,Wisconsin,male,drove_alone,1233511
2015,Midwest,Wisconsin,male,carpooled,117998
2015,Midwest,Wisconsin,male,public_transportation,27173
2015,Midwest,Wisconsin,male,bicycle,15826
2015,Midwest,Wisconsin,male,walked,46042
2015,Midwest,Wisconsin,male,taxicab_or_other,16768
2015,West,Wyoming,male,drove_alone,116990
2015,West,Wyoming,male,carpooled,16642
2015,West,Wyoming,male,public_transportation,5235
2015,West,Wyoming,male,bicycle,1258
2015,West,Wyoming,male,walked,7351
2015,West,Wyoming,male,taxicab_or_other,2723
2015,Southeast,Alabama,female,drove_alone,820484
2015,Southeast,Alabama,female,carpooled,82388
2015,Southeast,Alabama,female,public_transportation,2629
2015,Southeast,Alabama,female,bicycle,490
2015,Southeast,Alabama,female,walked,9577
2015,Southeast,Alabama,female,taxicab_or_other,6100
2015,West,Alaska,female,drove_alone,109078
2015,West,Alaska,female,carpooled,22406
2015,West,Alaska,female,public_transportation,1835
2015,West,Alaska,female,bicycle,1272
2015,West,Alaska,female,walked,11476
2015,West,Alaska,female,taxicab_or_other,4134
2015,Southwest,Arizona,female,drove_alone,1043151
2015,Southwest,Arizona,female,carpooled,143657
2015,Southwest,Arizona,female,public_transportation,25958
2015,Southwest,Arizona,female,bicycle,8441
2015,Southwest,Arizona,female,walked,28185
2015,Southwest,Arizona,female,taxicab_or_other,15387
2015,Southeast,Arkansas,female,drove_alone,489742
2015,Southeast,Arkansas,female,carpooled,62709
2015,Southeast,Arkansas,female,public_transportation,3045
2015,Southeast,Arkansas,female,bicycle,558
2015,Southeast,Arkansas,female,walked,9843
2015,Southeast,Arkansas,female,taxicab_or_other,4835
